S S1 0.272073485491341952
S S2 0.03314175062425705
S S3 0.11956421940992064
S S4 0.10552514707977759
S S5 0.09212492870312247
S S6 0.12534418079180404
S S7 0.08996069467106074
S S8 0.05282348634514533
S S9 0.1094421
A3_5 A4_5 A4_2 0.036906923527572404
A3_5 A4_6 A4_7 0.006815700957559511
A3_5 A4_9 A4_1 0.013138414763317832
A3_5 A4_2 A4_4 0.07452773895493865
A3_5 A4_4 A4_3 0.006417851062968838
A3_5 A4_9 A4_4 0.03685720417402475
A3_5 A4_0 A4_9 0.0301891925104897
A3_5 A4_3 A4_5 0.03294401666022518
A3_5 A4_0 A4_7 0.0263335305695962
A3_5 A4_5 A4_0 0.005361697858356531
A3_5 A4_7 A4_5 0.034511053916139324
A3_5 A4_9 A4_7 0.018822038930343423
A3_5 A4_5 A4_8 0.007678714803038678
A3_5 A4_3 A4_4 0.034741461408612784
A3_5 A4_6 A4_9 0.050822680295606035
A3_5 A4_5 A4_3 0.05577146546445384
A3_5 weather 0.2329082690206929
A3_6 A4_1 A4_6 0.03819294371096123
A3_6 A4_9 A4_7 0.0072850864617461375
A3_6 A4_0 A4_8 0.06360550535200049
A3_6 A4_7 A4_1 0.032507230380452834
A3_6 A4_1 A4_9 0.044365505877659646
A3_6 A4_7 A4_8 0.07176065420183972
A3_6 A4_5 A4_8 0.06988106004879653
A3_6 A4_6 A4_8 0.06150681927231372
A3_6 A4_5 A4_4 0.030059093254120546
A3_6 A4_8 A4_4 0.07121202776181909
A3_6 A4_9 A4_6 0.045441432260726576
A3_6 A4_1 A4_9 0.03265666736910377
A3_6 A4_3 A4_5 0.05570502297488343
A3_6 A4_0 A4_2 0.05818875136389335
A3_6 A4_5 A4_2 0.015557922867999428
A3_6 A4_1 A4_2 0.02980292871155767
A3_6 A4_3 A4_1 0.04450795273919097
A3_6 A4_6 A4_2 0.05594446055348148
A3_6 A4_1 A4_1 0.05481693567155471
A3_6 A4_1 A4_4 0.05519004886060176
A3_6 southeast 0.06181195030529672
A3_7 A4_3 A4_4 0.06950311267842817
A3_7 A4_8 A4_3 0.056754759933908966
A3_7 A4_7 A4_2 0.04704038031911435
A3_7 A4_8 A4_9 0.007794255765265356
A3_7 A4_0 A4_2 0.050674161793975735
A3_7 A4_6 A4_1 0.05741197485812062
A3_7 A4_0 A4_0 0.0798560316849205
A3_7 A4_0 A4_7 0.005904504526905102
A3_7 A4_6 A4_2 0.021834610710151463
